,EVs Charging,EVs Activated,EVs Travelling,EVs Queued,EVs Charge Level,EVs Currently charging,EVs Not Idle,EOD Battery SOC,EVs Destinations,EVs at Charging Station - S,Length of Queue 1 at Charging Stations,Length of Queue 2 at Charging Stations,EVs at Charging Stations
18,1,2,0,0,"[47.0, 44.0]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
19,1,2,0,0,"[54.5, 44.0]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
20,0,2,1,0,"[54.5, 44.0]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
21,0,2,1,0,"[44.5, 44.0]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
22,0,2,0,0,"[34.5, 44.0]",0,0,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
23,0,2,0,0,"[34.5, 44.0]",0,0,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'work']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
24,0,2,0,0,"[34.5, 44.0]",0,0,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
25,0,2,0,0,"[34.5, 44.0]",0,0,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
26,0,2,0,0,"[34.5, 44.0]",0,0,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
27,0,2,0,0,"[34.5, 44.0]",0,0,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
28,0,2,0,0,"[34.5, 44.0]",0,0,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
29,0,2,0,0,"[34.5, 44.0]",0,0,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
30,0,2,0,0,"[34.5, 44.0]",0,0,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
31,0,2,1,0,"[24.5, 44.0]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
32,1,2,0,0,"[22.0, 44.0]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
33,1,2,0,0,"[29.5, 44.0]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
34,1,2,1,0,"[37.0, 42.0]",0,2,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
35,1,2,1,0,"[44.5, 40.0]",0,2,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
36,1,2,1,0,"[52.0, 38.0]",0,2,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
37,0,2,2,0,"[52.0, 36.0]",0,2,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
38,0,2,2,0,"[42.0, 34.0]",0,2,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
39,0,2,1,0,"[32.0, 32.0]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
40,0,2,1,0,"[22.0, 32.0]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
41,1,2,0,0,"[19.5, 32.0]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
42,1,2,0,0,"[27.0, 32.0]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
43,1,2,0,0,"[34.5, 32.0]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
44,1,2,0,0,"[42.0, 32.0]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
45,1,2,0,0,"[49.5, 32.0]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
46,1,2,0,0,"[57.0, 32.0]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
47,0,2,1,0,"[57.0, 32.0]",0,1,"[[34.5, 57.0], [44.0, 32.0]]","['City C', 'autoshop']",0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
